input,expected_output,expected_articles
Welche Eigenschaften lobte Merz an der CDU-Generalsekretärin in Baden-Württemberg?,"Merz lobte an ihr die Eigenschaften 'persönliche Stabilität, ein klares politisches Konzept und eine gute Orientierung'.",2025-05-06/inland/article_1.md
Welche Staatsangehörigen dürfen seit etwa einem Jahr zu touristischen Zwecken nach Nordkorea einreisen?,Seit etwa einem Jahr dürfen nur russische Staatsangehörige zu touristischen Zwecken einreisen.,2025-01-28/ausland/article_10.md
Welche Auswirkungen befürchtet Tesla durch die US-Handelsmaßnahmen?,"Tesla befürchtet, dass frühere US-Handelsmaßnahmen zu sofortigen Reaktionen der betroffenen Länder, etwa höheren Zöllen auf E-Autos, geführt haben und dass Tesla selbst von Importen in die USA abhängig ist, die nun von Zöllen belegt werden könnten.",2025-03-14/wirtschaft/article_10.md
Wer begleitet von der Leyen bei ihrem Besuch in Indien?,Von der Leyens Besuch in Indien wird von Kommissarinnen und Kommissaren der 27 EU-Länder begleitet.,2025-02-28/ausland/article_9.md
Wie hoch ist die Zustimmung für SPD-Bundeskanzler Olaf Scholz bei der heutigen Wahl?,SPD-Bundeskanzler Olaf Scholz kommt auf 26 Prozent Zustimmung.,2025-02-23/inland/article_9.md
Welche Position hatte die gebürtige Hessin im Bundesjustizministerium unter Heiko Maas?,Staatssekretärin und Amtschefin,2025-05-08/inland/article_7.md
Wer spielt eine führende Rolle bei der Umstrukturierung der Bundesbehörden unter Trump?,"Sein Berater, der Tech-Milliardär Elon Musk mit seiner Einheit für staatliche Effizienz (DOGE).",2025-02-28/ausland/article_10.md
Warum ist der Lakonische Golf ideal für das Umpumpen?,"Der Lakonische Golf ist ideal für das Umpumpen, weil hier die See meist ruhig ist.",2025-04-30/ausland/article_9.md
Was ist Jeff Jarvis' Meinung zur Behandlung der Medien durch Trump?,"Jeff Jarvis sieht Trumps Vorgehen als einen Frontalangriff auf unabhängige Medien und folgt einem totalitären, autoritären und faschistischen Skript.",2025-02-28/ausland/article_14.md
Wer sieht die Aufrüstung in Europa als Chance?,Wirtschaftswissenschaftler Adam,2025-03-14/wirtschaft/article_5.md
Warum soll der alte Bundestag über das Finanzpaket abstimmen?,"Um die geplanten Grundgesetzänderungen zu ermöglichen, da der alte Bundestag die erforderliche Zweidrittelmehrheit hat, die im neu gewählten Bundestag aufgrund der Sperrminorität von AfD und Linkspartei nicht erreicht werden könnte.",2025-03-14/inland/article_11.md
Wer sind die Verhandler für die Union bei den Sondierungen?,"CDU-Chef Friedrich Merz, CSU-Vorsitzende Markus Söder, die Generalsekretäre Carsten Linnemann (CDU) und Martin Huber (CSU), Unions-Fraktionsgeschäftsführer Thorsten Frei, CSU-Landesgruppenchef Alexander Dobrindt, der sächsische Ministerpräsident Michael Kretschmer, die stellvertretende CDU-Vorsitzende Karin Prien und die CSU-Politikerin Dorothee Bär.",2025-02-28/inland/article_3.md
Welcher US-Chiphersteller erlitt am Montag einen erheblichen Verlust an Börsenwert?,Der US-Chiphersteller Nvidia erlitt am Montag einen erheblichen Verlust an Börsenwert.,2025-01-28/wirtschaft/article_3.md
Was ist die Reaktion der Hamas auf Israels Pläne zur Eroberung des Gazastreifens?,Die Hamas lehnt weitere Gespräche ab und will nicht mehr über eine Waffenruhe verhandeln.,2025-05-06/ausland/article_0.md
Was fordern die Unionsfraktionschefs bezüglich der Stromsteuer?,Die Unionsfraktionschefs fordern die zügige Absenkung der Stromsteuer auf das europäische Mindestmaß für alle Unternehmen sowie alle Verbraucherinnen und Verbraucher.,2025-06-30/inland/article_6.md
In welcher Region verzeichnete das Unternehmen Gea einen Rückgang des Auftragseingangs?,In Asien ging es hingegen bergab.,2025-05-08/wirtschaft/article_4.md
Wie viel verdienten Fachkräfte in der Altenpflege im April 2024 im Mittel?,Vollzeitbeschäftigte Fachkräfte in der Altenpflege verdienten im April 2024 im Mittel 4.228 Euro brutto.,2025-05-06/wirtschaft/article_9.md
Wie viele Stimmen sind in Phase zwei für eine erfolgreiche Wahl notwendig?,Es braucht in dieser Phase 316 Stimmen für eine erfolgreiche Wahl.,2025-05-06/inland/article_14.md
Warum hat Carney die Kanadier nach seinem Wahlsieg zur Einigkeit aufgerufen?,"Carney hat die Kanadier zur Einigkeit aufgerufen, um der Krise mit der positiven Kraft eines vereinten Kanadas zu begegnen, angesichts der Drohungen aus den USA und der schwierigen Monate, die bevorstehen.",2025-04-30/ausland/article_12.md
"Wer hat ein Papier präsentiert, in dem ein deutscher Nationaler Sicherheitsrat skizziert wird?",Der Terrorismusexperte Peter Neumann.,2025-05-31/inland/article_0.md
"Wie hoch sind die zusätzlichen Rüstungshilfen für die Ukraine, über die innerhalb der Bundesregierung gestritten wurde?",Drei Milliarden Euro,2025-03-14/inland/article_8.md
Welche Probleme hat die Deutsche Bahn laut dem Text?,"Die Deutsche Bahn hat wirtschaftliche und betriebliche Probleme, darunter eine marode Infrastruktur, hohe Verschuldung und Verluste bei der Güterverkehrstochter DB Cargo.",2025-01-28/wirtschaft/article_1.md
Wer sieht sich als Siegerin in der Debatte?,Die AfD sieht sich als Siegerin.,2025-01-31/inland/article_3.md
Wie viele ukrainische Staatsangehörige waren im Oktober 2024 in Deutschland sozialversicherungspflichtig beschäftigt?,240.000 ukrainische Staatsangehörige,2025-01-20/ausland/article_0.md
Was hat Trump an der Grenze zu Mexiko angekündigt?,"Er kündigte an, einen nationalen Notstand auszurufen und zusätzliche Truppen zur Sicherung der Grenze zu entsenden.",2025-01-20/ausland/article_5.md
Um wie viel Prozent ist der Gewinn von Volkswagen im ersten Quartal gesunken?,Der Gewinn von Volkswagen ist im ersten Quartal um 41 Prozent gesunken.,2025-04-30/wirtschaft/article_11.md
"Was muss Deutschland tun, wenn ein Haftbefehl und ein Ersuchen um Festnahme vom IStGH vorliegt?","Deutschland muss handeln und die Person festnehmen, wenn sie nach Deutschland kommt, da es Vertragsstaat des IStGH ist und zur Zusammenarbeit verpflichtet ist.",2025-02-28/inland/article_5.md
Wer war nicht bei der Dreier-Konferenz in Jalta im Februar 1945 anwesend?,Charles de Gaulle,2025-05-08/ausland/article_6.md
"Wo befindet sich das unterirdische Lazarett, das im Text erwähnt wird?","Im Osten der Ukraine, dessen genauer Standort geheim bleiben soll.",2025-03-31/ausland/article_5.md
Wie viel Prozent hat der DAX im Januar zugelegt?,"Für den Januar ergibt sich ein Wertzuwachs im DAX von 9,15 Prozent.",2025-01-31/wirtschaft/article_7.md
Was fordert Bundesgesundheitsministerin Nina Warken in Bezug auf E-Zigaretten?,"Bundesgesundheitsministerin Nina Warken fordert die Länder auf, den Nichtraucherschutz auszuweiten und auch Verdampfer und E-Zigaretten mit einzubeziehen.",2025-05-31/inland/article_3.md
"Wer wird als möglicher Nachfolger für Klara Geywitz im Bereich Wohnen, Stadtentwicklung und Bauwesen gehandelt?",Der bisherige Ost-Staatsminister Carsten Schneider wird als möglicher Nachfolger gehandelt.,2025-04-30/inland/article_9.md
Welche Unterstützung wird für eine erfolgreiche Integration in einen fremden Kulturkreis benötigt?,"Unterstützung in Form von Sprachkursen, Schulungen und auch Austauschveranstaltungen und vor allem zu Beginn Bezugspersonen für jegliche Fragestellungen.",2025-01-28/wirtschaft/article_8.md
Warum hat der Verfassungsschutz die Hochstufung der AfD vorerst ausgesetzt?,"Der Verfassungsschutz hat die Hochstufung der AfD vorerst ausgesetzt, nachdem die AfD gegen die Einstufung als 'gesichert rechtsextremistisch' geklagt hat. Es war eine verfahrenstechnische Entscheidung, aber keine Aussage zur Sache.",2025-05-08/inland/article_5.md
Welche Schlüsselressorts möchte Merz mit Vertrauten besetzen?,Merz möchte die Schlüsselressorts Wirtschaft und Inneres mit Vertrauten besetzen.,2025-02-28/inland/article_6.md
Warum möchte Präsident Duda US-Atomwaffen nach Polen holen?,"Präsident Duda möchte US-Atomwaffen nach Polen holen, um einen Nuklearschirm zu haben, der Russland abschrecken könnte, falls auf Trump kein Verlass mehr wäre.",2025-03-14/ausland/article_3.md
Um wie viel Prozent stieg der Umsatz von Hapag-Lloyd?,Der Umsatz von Hapag-Lloyd stieg um knapp ein Fünftel.,2025-04-30/wirtschaft/article_0.md
Wer gratulierte dem neuen Papst Leo XIV. aus den USA?,US-Präsident Donald Trump war einer der ersten Gratulanten.,2025-05-08/ausland/article_1.md
Seit wann ist die Bundeswehr an der EU-Mission EUNAVFOR Med Irini beteiligt?,Seit Mai 2020.,2025-01-31/inland/article_2.md
Welche Koalitionen sind nach der Wahl ausgeschlossen?,Ausgeschlossen sind Koalitionen mit AfD und auch der Linkspartei.,2025-02-23/inland/article_13.md
Was befürchten Anleger aufgrund der US-Zollpolitik?,"Anleger fürchten durch die US-Zollpolitik einen eskalierenden globalen Handelskonflikt, geringeres Wachstum und höhere Inflation für die großen Volkswirtschaften.",2025-03-31/wirtschaft/article_3.md
Was könnte laut Experten eine der größten Gefahren für die US-Wirtschaft darstellen?,Nicht wenige Experten sehen in dem neuen Präsidenten Trump eine der größten Gefahren für die US-Wirtschaft.,2025-01-20/wirtschaft/article_4.md
Wann wurde Boris Pistorius Verteidigungsminister?,Im Januar 2023.,2025-05-06/inland/article_1.md
Welche Region wurde trotz der verkündeten Feuerpause von russischen Flugzeugen angegriffen?,Die Region Sumy wurde trotz der verkündeten Feuerpause von russischen Flugzeugen angegriffen.,2025-05-08/ausland/article_15.md
Wie hat die US-Notenbank Fed auf die Forderungen von Präsident Trump nach Zinssenkungen reagiert?,"Die US-Notenbank Fed hat den Forderungen von Präsident Trump nach Zinssenkungen erneut getrotzt und den Leitzins in der Spanne von 4,25 bis 4,50 Prozent belassen.",2025-05-08/wirtschaft/article_0.md
Wie viele Gebäude wurden durch die Flächenbrände zerstört oder beschädigt?,Mehr als 12.000 Gebäude wurden zerstört oder beschädigt.,2025-01-20/ausland/article_13.md
Was drohte Trump der Ukraine im Kampf gegen Russland?,"Trump drohte, die Ukraine im Kampf gegen Russland im Stich zu lassen, sollte es nicht zu einer Einigung mit Kremlchef Wladimir Putin kommen.",2025-02-28/ausland/article_6.md
Wer wurde als Finanzminister nominiert und was ist seine Meinung zu Zöllen?,Scott Bessent wurde als Finanzminister nominiert und er hält wenig von Zöllen.,2025-01-20/ausland/article_8.md
Wie reagierte Olaf Scholz auf den Wahlsieg von Donald Trump?,"Olaf Scholz gratulierte Donald Trump pflichtschuldig zu dessen Wahlsieg und betonte, dass man gemeinsam mehr durchsetzen könne als gegeneinander.",2025-01-20/inland/article_0.md
"Wie lange dauerte das Treffen zwischen Selenskyj und Trump, bevor es aus dem Ruder lief?",Rund 40 Minuten,2025-02-28/ausland/article_6.md
Was ist Putins Haltung zu den Waffenruhe-Verhandlungen?,"Putin erweckte den Eindruck, dass seine Regierung grundsätzlich offen sei für Verhandlungen über eine Waffenruhe, formulierte jedoch 'Nuancen', die das Vorhaben erheblich infrage stellen.",2025-03-14/ausland/article_2.md
Was könnte Mexiko den USA im Bereich der Halbleiter anbieten?,"Mexiko könnte den USA Hilfe dabei anbieten, die Abhängigkeit von essenziellen Komponenten zu reduzieren.",2025-01-20/wirtschaft/article_5.md
"Was passiert, wenn der Bundespräsident keine Kanzlermehrheit vorfindet?",Der Bundespräsident hätte bei einer fehlenden Kanzlermehrheit zwei Möglichkeiten: Entweder er ernennt die gewählte Person zum Bundeskanzler. Oder er löst den Bundestag auf. Innerhalb von 60 Tagen müsste dann in Deutschland neu gewählt werden.,2025-05-06/inland/article_14.md
Wie viele Menschen wurden seit Monatsbeginn durch die Kämpfe in der Region vertrieben?,400.000 Menschen,2025-01-28/ausland/article_4.md
Wie viele Stimmen hat man bei der Bundestagswahl?,Jeder Wählende hat weiterhin zwei Stimmen.,2025-01-28/inland/article_6.md
Um wie viel Prozent sind die Einkommen im Vergleich zum Vormonat gestiegen?,"Die Einkommen sind um 0,9 Prozent gestiegen.",2025-02-28/wirtschaft/article_11.md
Warum gibt es in Belgien einen landesweiten Streik?,Der Streik richtet sich gegen die geplanten Rentenkürzungen und den harten Sparkurs der neuen rechtsgerichteten Regierung unter der Führung des flämischen Nationalisten Bart De Wever.,2025-03-31/ausland/article_10.md
Welche Geschwindigkeitsbegrenzungen fordert der Verband auf deutschen Straßen?,"Ein generelles Tempolimit von 120 km/h auf Autobahnen, 80 km/h auf Landstraßen und eine Regelgeschwindigkeit von 30 km/h innerorts.",2025-01-28/inland/article_10.md
"Welche drei Voraussetzungen müssen erfüllt sein, damit der Generalbundesanwalt eine Tat übernimmt?","Die Morde, die besondere Bedeutung und der Staatsschutz-Charakter.",2025-01-20/inland/article_2.md
Warum gelten für die russischen Transitzüge durch Litauen strenge Regeln?,"Die Sorge der litauischen Behörden ist, dass Russland mit den Transitzügen verdeckt Soldaten oder gar Militärgerät in die Exklave Kaliningrad transportieren könnte.",2025-05-31/ausland/article_5.md
Um welche Art von Systemen bittet Selenskyj Deutschland?,Selenskyj bittet Deutschland um die Lieferung weiterer Iris-T-Flugabwehrsysteme.,2025-06-30/ausland/article_9.md
Wie beschreibt Merkel die Situation im Jahr 2015 bezüglich der Geflüchteten?,"Merkel sagt, dass es eine unerwartete Situation war und dass sie im Rückblick lange nicht hingeschaut haben, wie es in den Flüchtlingslagern im Libanon, in Jordanien und mit den Binnenflüchtlingen in Syrien aussieht.",2025-06-30/inland/article_4.md
"Warum ist das neue Bündnis von CDU, CSU und SPD nicht mit der Merkel-Ära vergleichbar?","Weil man prozentual nicht mehr von einer 'Großen Koalition' sprechen kann: Im Jahr 2005 vereinten Union und SPD noch zusammen 69,4 Prozent der Stimmen, heute sind es rund 45 Prozent.",2025-04-30/inland/article_3.md
Wer ist wahrscheinlich für das Amt des Verteidigungsministers bei der SPD gesetzt?,Boris Pistorius ist wahrscheinlich gesetzt für das Amt des Verteidigungsministers.,2025-04-30/inland/article_2.md
"Wie viel Geld wird dieses Jahr voraussichtlich verwendet, um fällige Anleihen zu bedienen?",Rund 340 Milliarden Euro,2025-04-30/wirtschaft/article_4.md
Wie viel kostet ein Ticket für alle fünf Tage des Evangelischen Kirchentags?,Das Ticket für alle fünf Tage kostet 149 Euro.,2025-04-30/inland/article_7.md
Wann legt Merz seinen Amtseid im Bundestag ab?,12.00 Uhr,2025-05-06/inland/article_5.md
Welche sechs Unternehmen aus dem DAX standen mit Quartalszahlen im Blick?,"Heidelberg Materials, Siemens Energy, Henkel, Infineon, Rheinmetall und Qiagen.",2025-05-08/wirtschaft/article_4.md
Was wissen nur ein Drittel der 18- bis 24-Jährigen laut einer Umfrage der Organisation 'More in Common'?,"Nur ein Drittel der 18- bis 24-Jährigen weiß laut einer Umfrage der gemeinnützigen Organisation 'More in Common', dass am 8. Mai die Deutschen kapitulierten.",2025-05-08/ausland/article_2.md
Wie viele israelische Geiseln wurden im Rahmen des Waffenruhe-Abkommens freigelassen?,Sechs israelische Geiseln wurden freigelassen.,2025-02-23/ausland/article_2.md
Was geschah am 29. Juli 2024 in Southport?,"Am 29. Juli 2024 in Southport griff ein Teenager während eines Tanzkurses zur Musik von Taylor Swift Kinder an und tötete dabei drei Mädchen im Alter von sechs, sieben und neun Jahren.",2025-01-20/ausland/article_15.md
Wer ist der wichtigste ausländische Gast bei den Feierlichkeiten zum 'Tag des Sieges' in Moskau?,Chinas Präsident Xi Jinping ist der wichtigste ausländische Gast bei den Feierlichkeiten.,2025-05-08/ausland/article_3.md
Wie viele Städtepartnerschaften gibt es zwischen deutschen und ukrainischen Städten?,Insgesamt gibt es 210 Städtepartnerschaften zwischen deutschen und ukrainischen Städten.,2025-02-23/inland/article_2.md
Was wird als Makel der neuen Bundesregierung angesehen?,Das Signal einer äußerst wackeligen Mehrheit wird als Makel der neuen Bundesregierung angesehen.,2025-05-06/inland/article_11.md
Welche Zölle hat Großbritannien im Rahmen des Handelsabkommens mit den USA gesenkt?,"Großbritannien erklärte sich bereit, seine Zölle auf 1,8 von 5,1 Prozent zu senken.",2025-05-08/wirtschaft/article_4.md
Warum ist der Primark-Chef Paul Marchant zurückgetreten?,"Paul Marchant ist wegen 'Fehlverhaltens' mit sofortiger Wirkung von seinem Posten zurückgetreten, nachdem eine Frau ihm unangemessenes Verhalten vorgeworfen hatte.",2025-03-31/wirtschaft/article_5.md
Welche Investitionen fordern die Grünen laut dem Gesetzentwurf?,"Die Grünen fordern Investitionen in Klimaschutz, die Modernisierung der Wirtschaft, die Bahn, die Digitalisierung oder das Stromnetz.",2025-03-14/inland/article_0.md
"Was hat Ljiljana Kurtic unternommen, um ihre Erfahrungen zu verarbeiten?","Ljiljana Kurtic hat ein Buch geschrieben, um ihre Erfahrungen zu verarbeiten.",2025-01-28/inland/article_11.md
Warum wurde die Wahl in der Ukraine verschoben?,Die Wahl wurde wegen des russischen Angriffskriegs im Einklang mit der ukrainischen Verfassung verschoben.,2025-02-23/ausland/article_3.md
Warum benötigen Union und SPD die Zustimmung der Grünen oder der FDP für ihr Finanzpaket?,"Da es sich dabei um eine Änderung des Grundgesetzes handelt, ist eine Zweidrittelmehrheit in Bundestag und Bundesrat nötig.",2025-03-14/inland/article_0.md
Welchen Einfluss hat Trump auf das Vertrauen in die US-Währung?,Trump hat den Ruf der US-Devise als sicherer Hafen und Weltreservewährung massiv beschädigt.,2025-04-30/wirtschaft/article_10.md
Welcher französische Mediziner und Forscher ist im Alter von 98 Jahren gestorben?,Étienne-Émile Baulieu,2025-05-31/ausland/article_11.md
"Wer hat angekündigt, den Haushalt in den USA zu blockieren?","Die Demokraten hatten angekündigt, den Haushalt zu blockieren.",2025-03-14/ausland/article_10.md
"Welche Maßnahmen könnte Trump laut Gunther Schnabl ergreifen, um die Teuerung zu bekämpfen?","Zölle würden die Inflation weiter antreiben. Sollte er aber die Staatsausgaben kürzen, die Verwaltung stutzen, die Wirtschaft deregulieren, mehr Öl und Gas in den USA fördern und so die Energiepreise senken, könnte es zu einem Rückgang kommen.",2025-01-31/wirtschaft/article_4.md
Welche Wetterbedingungen könnten die Brände in Los Angeles erneut anfachen?,"Starke Winde, insbesondere die #SantaAnaWinde mit Geschwindigkeiten von bis zu 130 Kilometern pro Stunde, könnten die Brände in Los Angeles erneut anfachen.",2025-01-20/ausland/article_13.md
Wie verlief die letzte Kabinettssitzung der Regierung Scholz?,"Die letzte Kabinettssitzung der Regierung Scholz verlief ohne besondere Rituale, Blumen und Geschenke und war hanseatisch nüchtern.",2025-04-30/inland/article_1.md
Was forderte Trump von Elon Musk in Bezug auf den Behörden-Abbau?,Trump forderte von Musk schärfere Schritte beim Behörden-Abbau und mehr Aggressivität.,2025-02-23/ausland/article_8.md
Welche Schwäche wird Mark Carney im Artikel nachgesagt?,"Sein Französisch ist zwar okay, aber seine Hauptgegner sprechen besser.",2025-03-14/ausland/article_4.md
Wer strebt einen neuen Wahlgang für morgen an?,Bundestagspräsidentin Julia Klöckner strebt offenbar einen neuen Wahlgang für morgen an.,2025-05-06/inland/article_10.md
Welche Zeitung ist das Flaggschiff der Südwestdeutschen Medienholding?,Die Süddeutsche Zeitung ist das Flaggschiff der Südwestdeutschen Medienholding.,2025-06-30/wirtschaft/article_0.md
Wie bezeichnete Selenskyj die Reaktion von Putin auf den Vorschlag einer Waffenruhe?,Selenskyj bezeichnete die Reaktion von Putin als 'manipulativ'.,2025-03-14/ausland/article_13.md
Wie viele ranghohe Mitarbeiter der US-Behörde für Entwicklungszusammenarbeit wurden beurlaubt?,56 ranghohe Mitarbeiter wurden beurlaubt.,2025-01-28/ausland/article_0.md
"Was könnte Friedrich Merz theoretisch tun, um die Festnahme von Netanjahu zu verhindern?","Safferling zeigt dem designierten Bundeskanzler eine theoretische Möglichkeit auf: Wenn Friedrich Merz noch einen Restglauben an den Internationalen Strafgerichtshof hat, dann müsste er versuchen, Netanjahu dazu zu bringen, mit dem Gericht zu kooperieren, indem Netanjahu den Chefankläger nach Jerusalem einlädt und ihm dort Belege dafür vorlegt, dass diese Verbrechen nicht geschehen sind.",2025-02-28/inland/article_5.md
Welche Geschenke erhielt König Charles während seines Staatsbesuchs in Deutschland im März 2023?,"Während seines Staatsbesuchs in Deutschland im März 2023 erhielt König Charles eine Uhr, ein Insektenhotel sowie ein CD- und DVD-Set zu Ludwig van Beethoven.",2025-05-31/ausland/article_15.md
Was kritisieren die Grünen an dem Beschluss zur Fauna-Flora-Habitat-Richtlinie?,"Die Grünen bemängeln, es gebe keine wissenschaftliche Grundlage für die Entscheidung und Nutztiere wie Schafe könnten auch ohne mehr Abschüsse besser geschützt werden.",2025-05-08/ausland/article_20.md
Wie viele Stimmen hat Friedrich Merz im ersten Wahlgang der Kanzlerwahl erhalten?,Friedrich Merz erhielt 310 Ja-Stimmen.,2025-05-06/inland/article_10.md|2025-05-06/inland/article_3.md
Wer äußerte sich empört über die organisierte Gewalt am israelischen Gedenktag?,Der linksliberale israelische Oppositionspolitiker Jair Golan zeigte sich empört.,2025-04-30/ausland/article_11.md
Welchen Anteil an den weltweiten Graphitressourcen hat die Ukraine?,"Die Ukraine verfügt über etwa 19 Millionen Tonnen Graphit, die etwa 20 Prozent der weltweiten Ressourcen ausmachen.",2025-02-28/ausland/article_13.md
Warum möchte die AfD eine neue Jugendorganisation gründen?,"Die AfD möchte eine neue Jugendorganisation gründen, um mehr Kontrolle zu haben und Sanktionsmaßnahmen durchsetzen zu können, da die alte JA ein eigenständiger Verein war und die Mutterpartei nicht immer durchgreifen konnte.",2025-03-31/inland/article_5.md
Was mahnt Christopher West bezüglich der Beziehungen nach dem Brexit?,"Christopher West mahnt, dass sich die Briten den Deutschen und Europäern nach dem Brexit weiter annähern müssen.",2025-05-08/ausland/article_2.md
Wie viele Menschen haben die Petition für die Freilassung von İmamoğlu unterzeichnet?,"14,8 Millionen Menschen",2025-05-08/ausland/article_12.md
Wie viele Geiseln sollen nach Angaben der israelischen Armee noch am Leben sein?,Nach Angaben der israelischen Armee sollen noch 27 Geiseln am Leben sein.,2025-02-23/ausland/article_2.md
Welche Bundesländer in Deutschland waren im Juni besonders von Hochwasserschäden betroffen?,Bayern und Baden-Württemberg,2025-05-31/wirtschaft/article_3.md
Warum wird Merz zum Meister der Kompromisse werden müssen?,"Merz wird zum Meister der Kompromisse werden müssen, weil er sich von der Ampelkoalition und seiner Amtsvorgängerin Merkel absetzen wollte, aber nun in einer Mitte-Koalition aus den sehr unterschiedlichen politischen Kulturen von SPD und Union regieren muss.",2025-04-30/inland/article_3.md
Was glaubt McManus über Trumps Definition von Frieden im Ukraine-Krieg?,"McManus glaubt, dass Trump Frieden nach Russlands Vorstellungen definiert, ohne Sicherheitsgarantien für die Ukraine, also nur ein Waffenstillstand, der es Russland erlaubt, sich neu aufzustellen und gestärkt zurückzukommen.",2025-04-30/ausland/article_5.md
Was war de Gaulles Haltung zur NATO und dem Marschall-Plan?,"De Gaulle war grundsätzlich für den Marschall-Plan und die NATO, aber er merkte, dass die USA dadurch die Kontrolle über Europa übernahmen und wollte die eigene Souveränität wahren.",2025-05-08/ausland/article_6.md
Welche Risikofaktoren könnten laut Michelle Bowman den Prozess der nachlassenden Teuerung verlangsamen?,"Steigende Löhne, Entwicklungen an den Finanzmärkten, geopolitische Risiken und die künftige Politik der Regierung von Präsident Donald Trump.",2025-01-31/wirtschaft/article_7.md
Wie viel mehr Lohn fordert die Gewerkschaft ver.di für die Tarifbeschäftigten der Post?,Ver.di fordert sieben Prozent mehr Lohn für die etwa 170.000 Tarifbeschäftigten der Post.,2025-01-28/wirtschaft/article_11.md|2025-01-28/wirtschaft/article_7.md
Wie hoch ist der aktuelle Leitzins der Fed laut dem Artikel?,"Der Leitzins liegt in der Spanne von 4,25 bis 4,50 Prozent.",2025-05-08/wirtschaft/article_4.md
Was plant Bundesverkehrsminister Patrick Schnieder bezüglich des Parkens von E-Scootern?,"Bundesverkehrsminister Patrick Schnieder plant schärfere Regeln für das Parken von E-Scootern auf Gehwegen, insbesondere für die Verleiher der Roller.",2025-06-30/inland/article_3.md
Was ist der Marktwert des Meme Coin $Trump?,Der Marktwert des Meme Coin $Trump beträgt rund zehn Milliarden Dollar.,2025-01-20/wirtschaft/article_1.md
Welche Posten sollen laut der neuen Bundesregierung abgeschafft werden?,"Posten von gut zwei Dutzend Beauftragten und Koordinatoren sollen abgeschafft werden, darunter der Beauftragte für Ladesäuleninfrastruktur, die Botschafterin für feministische Außenpolitik, die Sonderbeauftragte für internationale Klimapolitik, der Sonderbevollmächtigte für Migrationsabkommen, der Beauftragte für Schiene, Logistik und Ladesäuleninfrastruktur, der Beauftragte für Soziale Innovationen und der Beauftragte für die Planung der 'Zeitenwende'.",2025-05-06/inland/article_2.md
Wer wurde im Januar von der AfD zur Kanzlerkandidatin gewählt?,Alice Weidel,2025-02-23/inland/article_13.md
Wie hoch war die Inflationsrate in Deutschland im Februar 2025?,"Die Inflationsrate in Deutschland lag im Februar 2025 bei 2,3 Prozent.",2025-02-28/wirtschaft/article_8.md
